idx,user_query,detected_intent,agent_response,source_links,is_in_scope_and_correct
86,請問可否貨到付款？,FAQ,"您好！關於您詢問的貨到付款服務，目前我們**沒有提供**此付款方式。

若您有其他付款方式的疑問，或是需要進一步的協助，歡迎隨時提出。",,
87,LINE Pay 有回饋嗎？,FAQ,"您好！關於您詢問的 LINE Pay 回饋問題，根據我們目前的資料，JTCG Shop 有支援 LINE Pay 作為付款方式之一。

不過，關於 LINE Pay 是否有額外的回饋活動，目前系統提供的資料中並未提及。建議您可以直接在結帳頁面確認是否有相關的回饋提示，或留意 LINE Pay 官方是否有推出與 JTCG Shop 合作的回饋方案。",,
88,海外退貨流程怎麼辦？,FAQ,線上提出申請→包裝回收→檢查完成後辦理退款。退款時程約 7–14 個工作天，依支付方式與銀行作業為準。,,
89,我想看雙螢幕支架的比較,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

2. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

3. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32 https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49 https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT,
90,請幫我把客服轉真人（human agent）,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
91,这款支架支持75×75吗？（简体）,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT,
92,退货政策是什么？（简体）,FAQ,"您好！JTCG Shop 的退貨流程為：線上提出申請 → 包裝商品準備回收 → 我們收到商品並檢查完成後，約 7–14 個工作天內會為您辦理退款。退款時程會依您的支付方式與銀行作業時間而有所不同。

若您想了解更多關於退貨的詳細資訊，可以參考我們的 FAQ：[https://www.jtcg.com.tw/faq](https://www.jtcg.com.tw/faq)",https://www.jtcg.com.tw/faq](https://www.jtcg.com.tw/faq),
93,发票怎么开？（简体）,FAQ,"您好！JTCG Shop 提供電子發票，出貨完成後會以 Email 寄送，您也可以在會員中心下載查詢。

若您需要開立三聯式發票，請務必在訂單成立時備註您的統一編號與抬頭。",,
94,有没有49寸显示器支架？（简体）,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

2. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

3. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49 https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27,
95,我要查询订单（简体）,FAQ,"您好！關於查詢訂單，出貨後您可以在「我的訂單」頁面點擊追蹤碼，即可查看最新的配送狀態。

若訂單長時間沒有更新，請隨時聯繫我們，我們將會盡快協助您查詢。",,
96,請問你們的客服時間？,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
97,運費怎麼計算？離島另外加價嗎？,FAQ,目前主要配送台灣本島；離島/外島運費與時程將於結帳頁顯示。海外配送可先透過客服評估可行方案與預估費用。,,
98,如果螢幕 8 公斤，哪個型號比較適合？,FAQ,"您好！關於您詢問螢幕重量為 8 公斤的適用型號，請您在選購臂架時，以「螢幕淨重（不含原廠腳座）」為準，並確認 VESA 規格與臂架的承重範圍。

此外，若您的螢幕是超寬或曲面機種，建議搭配強化背板以確保穩定性。",,
99,我有兩台 27 吋要左右擺，推薦？,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49,
100,請幫我連接人工客服，我的問題很複雜,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
101,我想退貨流程怎麼走？順便推薦一支 27 吋單臂,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

2. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

3. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32,
102,請問保固多久，另外 32 吋有沒有現貨？,FAQ,臂架與支架類商品享有 1 年有限保固。非人為損壞可申請檢測與維修；需提供訂單編號或發票資訊。,,
103,我要查訂單配送進度，也想問免運門檻,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
104,可以轉真人嗎？同時幫我看一下 JTCG-ARM-DUAL-PRO-32 的相容性,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
105,我想知道客服時間，還有壁掛臂哪款最穩,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
106,查訂單 JTCG-202508-10001 的狀態，另外這款有配件嗎？,ORDER,基於帳號安全考量，查詢訂單時需要同時提供 user_id（例如：u_123456）。請先提供 user_id，我再幫您查詢。,,
107,退貨政策與是否支援 Apple Pay 一起告訴我,FAQ,線上提出申請→包裝回收→檢查完成後辦理退款。退款時程約 7–14 個工作天，依支付方式與銀行作業為準。,,
108,海外寄送可以嗎？同時推薦重載臂,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-WALL-ARM-34,
109,想比較雙臂 vs 壁掛，順便看我的歷史訂單,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
110,請直接找真人，還要查 order_id 清單,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
111,"My order status please, and recommend a 49"" mount.",PRODUCT,"Here are some products that may fit your needs:

1. JTCG 超寬螢幕重載臂（至 49 吋） (SKU: JTCG-ARM-ULTRAWIDE-49)

Product page: https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

2. JTCG 壁掛式伸縮臂（至 34 吋） (SKU: JTCG-WALL-ARM-34)

Product page: https://example.com/jtcg/p/JTCG-WALL-ARM-34

3. JTCG 單臂支架 Lite（至 27 吋） (SKU: JTCG-ARM-SINGLE-LITE-27)

Product page: https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

If you share your monitor size and weight, I can further narrow down to the most suitable option.",https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49 https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27,
112,Do you ship internationally and what's your return policy?,FAQ,"您好！JTCG Shop 目前主要配送台灣本島。

關於海外配送，您可以透過客服評估可行方案與預估費用。

至於退貨政策，若您有退貨需求，請參考我們的退貨流程說明。線上提出申請後，我們會引導您進行後續的包裝回收與檢查，完成後將會辦理退款。退款作業約需 7–14 個工作天，實際時程將依您的支付方式與銀行作業為準。",,
113,我要發票三聯，另外幫我挑一款支架,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

2. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

3. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32 https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT,
114,客服表單在哪？也想設定到貨通知,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
115,能不能取消訂單，同時問問保固可轉移嗎？,FAQ,部分商品提供線上保固登錄；保固通常限原始購買者，不隨轉售轉移。實際以商品頁或憑證說明為準。,,
116,我有 user_id u_123456，想看訂單並問 VESA 200x100 可以用哪款,ORDER,"以下是 user_id「u_123456」名下的訂單：


- 訂單編號 JTCG-202508-10001：狀態 in_transit，預估到貨 2025-08-16，品項：JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）, JTCG 桌面走線管理組
- 訂單編號 JTCG-202507-09012：狀態 delivered，預估到貨 2025-07-26，品項：JTCG 單臂支架 Lite（至 27 吋）

請回覆想要查詢的訂單編號（order_id），我可以再提供更詳盡的物流與品項資訊。",,
117,付款方式有哪些？另外幫我查一下最近一筆訂單,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
118,桌板 15mm 能夾嗎？還有物流多久到,FAQ,"您好！關於桌板厚度，我們的夾具建議安裝於 10–85mm 厚度的桌板，因此 15mm 的桌板是可以夾的。

至於物流配送時間，目前系統資料並未提供具體的預估到貨時間。若您想了解更詳細的物流資訊，建議您直接聯繫我們的真人客服，他們將能為您提供更精確的協助。",,
119,我想要真人客服，也幫我估算運費,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
120,想了解促銷規則，另外 27 吋雙螢幕建議,FAQ,"您好！關於促銷規則，每筆訂單限使用一張優惠券，且不得與部分專案或企業報價合併使用。活動期間與適用品項請以頁面公告為準。

至於 27 吋雙螢幕的建議，我們的資料顯示，多螢幕是可以混搭的，但為了確保穩定性，建議兩側螢幕的重量盡量相近。在使用雙臂支架時，請務必分別調整各支臂的張力，以確保兩台螢幕都能穩定停駐。

如果您對促銷活動有更詳細的疑問，或是需要更多關於螢幕支架的建議，歡迎隨時再提出，我們很樂意為您服務！",,
121,查詢 u_999999 的訂單，同時詢問保固申請流程,ORDER,"以下是 user_id「u_999999」名下的訂單：


- 訂單編號 JTCG-202508-11021：狀態 processing，預估到貨 None，品項：JTCG 超寬螢幕重載臂（至 49 吋）

請回覆想要查詢的訂單編號（order_id），我可以再提供更詳盡的物流與品項資訊。",,
122,退貨退款多久？同時看一下壁掛伸縮距離,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

2. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

3. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32 https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49,
123,我想預購，還想知道客服有沒有週末,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
124,这款支架支持75×75吗？另外能查订单吗？（简体）,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

2. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

3. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49 https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT,
125,我要查询订单并了解退货规则（简体）,FAQ,"您好！關於訂單查詢與退貨規則，以下是為您整理的資訊：

出貨後，您可以在「我的訂單」頁面點擊追蹤碼，查看訂單的最新配送狀態。若訂單長時間未有更新，請隨時聯繫我們，我們將協助您查詢。

關於退貨，若您的訂單尚未出貨，可以申請取消。若訂單已出貨，則需依照退貨流程辦理。退款作業約需 7-14 個工作天，實際時間將依您的支付方式與銀行作業為準。

若您需要進一步了解退貨的實際流程與時程，請參考我們的退貨說明：[請在此處插入相關退貨連結，若有]",,
126,請問可以分期嗎？另外跟我說 RMA 怎麼申請,FAQ,請備妥訂單編號與故障影片/照片，於線上表單提交 RMA。客服會於工作日內回覆檢測與處理方式。,,
127,我需要到府安裝資訊，也想問是否支援 34 吋曲面,FAQ,"您好！JTCG Shop 客服 AI 為您服務。

關於到府安裝服務，我們在特定地區有提供，費用會依地區與安裝難度另外計算。建議您在下單前，先與我們的客服確認是否支援您所在的地區。

至於 34 吋曲面螢幕的支援問題，選購螢幕臂架時，請務必以「螢幕淨重（不含原廠腳座）」為準，並確認 VESA 規格與臂架的承重範圍。對於超寬或曲面螢幕，我們建議搭配強化背板以確保穩定性。",,
128,想要看 accessories 清單，順便查配送,FAQ,"您好！JTCG Shop 客服 AI 為您服務。

關於您想查看配件清單的需求，您可以在我們的配件館選購常用的耗材與備品，例如螺絲組、轉接板、走線配件等。

若您找不到所需的特定零件，請提供該零件的 SKU 和您的需求給我們，客服人員將會盡力協助您。

至於配送的部分，我們目前主要配送台灣本島。若您有離島或外島的配送需求，相關的運費與時程將會在您結帳頁面顯示。若您有海外配送的需求，可以先透過客服評估可行方案與預估費用。",,
129,tracking 沒更新，轉真人並推薦穩定款,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
130,會員點數怎麼用？同時幫我找 JTCG-LAPTOP-VESA-KIT,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
131,請問客服電話？另外 32 吋 100x100 有沒有推薦,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
132,我想更改地址，同時問走線組合內容,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 桌面走線管理組】（SKU：JTCG-CABLE-MGMT-KIT）

商品連結：https://example.com/jtcg/p/JTCG-CABLE-MGMT-KIT

2. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

3. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-CABLE-MGMT-KIT https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT https://example.com/jtcg/p/JTCG-WALL-ARM-34,
133,能否面交？另外把我訂單列表列出來,FAQ,"您好！關於您詢問的面交服務以及訂單列表，目前我們沒有提供面交的服務。

關於您的訂單列表，您可以透過以下方式查詢：
1.  **會員中心：** 若您是會員，登入後可在「我的訂單」頁面查詢您的訂單紀錄。
2.  **出貨通知信：** 出貨完成後，我們將會以 Email 寄送通知信，信中也會包含訂單相關資訊。

若您在查詢訂單時遇到任何問題，或是需要進一步的協助，也歡迎隨時聯繫我們。",,
134,海外退貨流程？也順便轉真人,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
135,我想要到貨通知，同時比較兩款雙臂,FAQ,商品頁可點選「到貨通知我」，系統會在補貨後以 Email 通知。提醒僅代表可下單，實際購買以結帳成功為準。,,
136,保固一年嗎？另外 u_222222 的訂單 ETA？,FAQ,臂架與支架類商品享有 1 年有限保固。非人為損壞可申請檢測與維修；需提供訂單編號或發票資訊。,,
137,請問免運，還有推薦一款壁掛,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49,
138,invoice 可以重發嗎？另外幫我看有沒有 200x100 支援的臂,FAQ,"您好！關於發票重發的問題，電子發票可以透過會員中心補發下載。

至於您詢問的 200x100 支援的臂架，目前系統資料中沒有直接提及此規格的商品。建議您可以直接透過會員中心查詢您的訂單紀錄，或聯繫我們的真人客服，他們將能更精確地協助您查詢商品庫存與規格。",,
139,"human agent please, also what’s your shipping fee?",HANDOFF,Understood. Please provide your email address so we can verify it and transfer you to a human agent.,,
140,connect to agent and list my recent orders.,FAQ,"您好！關於您的訂單查詢，出貨後您可以在「我的訂單」頁面點擊追蹤碼，查看最新的配送狀態。

若您發現訂單長時間沒有更新，或是需要進一步協助，請隨時聯繫我們的客服人員，我們將盡快為您查詢。",,
141,我要取消訂單與詢問退款時程,FAQ,未出貨可申請取消；已出貨需走退貨流程。退款作業約 7–14 個工作天，依支付方式與銀行作業為準。,,
142,我想查訂單，並問是否支援 Google Pay,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
143,桌後有擋板能裝嗎？順便推薦短臂,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32,
144,請告訴我出貨時程與保固條款重點,FAQ,"現貨商品於 1–2 個工作天出貨；預購商品依頁面標示為準。標準運送滿 NT$1,500 免運；離島或外島運費另計。",,
145,客服時段？還有 JTCG-ARM-ULTRAWIDE-49 相容性,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
146,查詢 JTCG-202507-30021，同時想知道可以直立旋轉嗎,ORDER,基於帳號安全考量，查詢訂單時需要同時提供 user_id（例如：u_123456）。請先提供 user_id，我再幫您查詢。,,
147,我想詢問贈品補寄，同時比較單臂/氣壓臂,FAQ,"您好！關於贈品補寄的部分，若您收到商品時未含贈品，請於 7 日內提供開箱照片與訂單資訊，我們將協助您補寄。

至於單臂與氣壓臂的比較，目前系統資料中沒有直接的比較資訊。不過，若您指的是氣壓臂的張力調整，安裝後可使用附贈的六角扳手，順時針或逆時針微調張力，以確保螢幕能穩定停在您慣用的高度。調整時請務必逐步進行，避免一次轉動過多圈數。

若您對贈品補寄或氣壓臂有更進一步的疑問，或想了解更多關於單臂與氣壓臂的比較，建議您直接聯繫我們的真人客服，他們將能提供更詳細的協助。",,
148,Do you have wall mount? Also check my tracking.,PRODUCT,"Here are some products that may fit your needs:

1. JTCG 壁掛式伸縮臂（至 34 吋） (SKU: JTCG-WALL-ARM-34)

Product page: https://example.com/jtcg/p/JTCG-WALL-ARM-34

2. JTCG 單臂支架 Lite（至 27 吋） (SKU: JTCG-ARM-SINGLE-LITE-27)

Product page: https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. JTCG 超寬螢幕重載臂（至 49 吋） (SKU: JTCG-ARM-ULTRAWIDE-49)

Product page: https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

If you share your monitor size and weight, I can further narrow down to the most suitable option.",https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49,
149,請幫我轉真人，同時設定到貨通知,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
150,我想問優惠券能否併用，還要看訂單列表,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
151,退貨需要原包裝嗎？另外推薦 16 吋筆電托盤,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

2. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

3. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27,
152,想了解 RMA 表單，同時查 u_555555 最新訂單,ORDER,"以下是 user_id「u_555555」名下的訂單：


- 訂單編號 JTCG-202508-01041：狀態 delivered，預估到貨 2025-08-06，品項：JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）
- 訂單編號 JTCG-202507-28052：狀態 processing，預估到貨 None，品項：JTCG 桌面走線管理組

請回覆想要查詢的訂單編號（order_id），我可以再提供更詳盡的物流與品項資訊。",,
153,我有兩台 27 吋要混搭，順便問免運門檻,FAQ,"您好！關於您詢問的兩台 27 吋螢幕混搭問題，是可以的。

為了確保螢幕的穩定性，我們建議您盡量選擇兩側螢幕的重量相近。若您是使用雙臂支架，請記得分別調整兩側支臂的張力，以確保每台螢幕都能穩定地懸掛。

至於免運門檻的部分，目前系統檢索到的資料並未提及，請您在結帳頁面確認相關資訊。若您有其他疑問，也歡迎隨時提出。",,
154,付款失敗怎麼辦？也看看我上一筆訂單狀態,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
